"reporter","eu_country"
"Austria","Austria"
"Belgium (incl. Luxembourg 'LU' -> 1998)","Belgium"
"Bulgaria","Bulgaria"
"Croatia","Croatia"
"Cyprus","Cyprus"
"Czechia","Czechia"
"Denmark","Denmark"
"Estonia","Estonia"
"Finland","Finland"
"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","France"
"Germany (incl. German Democratic Republic 'DD' from 1991)","Germany"
"Greece","Greece"
"Hungary","Hungary"
"Ireland (Eire)","Ireland"
"Italy (incl. San Marino 'SM' -> 1993)","Italy"
"Latvia","Latvia"
"Lithuania","Lithuania"
"Luxembourg","Luxembourg"
"Malta","Malta"
"Netherlands","Netherlands"
"Poland","Poland"
"Portugal","Portugal"
"Romania","Romania"
"Slovakia","Slovakia"
"Slovenia","Slovenia"
"Spain (incl. Canary Islands 'XB' from 1997)","Spain"
"Sweden","Sweden"
