"code","product"
"01012100","Pure-bred breeding horses"
"01012990","Live horses (excl. for slaughter, pure-bred for breeding)"
"20019097","Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid (excl. cucumbers and gherkins, mango chutney, fruit of the genus Capsicum other than sweet peppers or pimentos, sweetcorn, yams, sweet potatoes and similar edible parts of plants, containing >= 5% by weight of starch; mushrooms, palm hearts, olives, sweet peppers, guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola, pitahaya, coconuts, cashew nuts, brazil nuts, areca ""betel"" nuts, colanuts and macadamia nuts)"
"20039010","Truffles, prepared or preserved otherwise than by vinegar or acetic acid"
"21039090","Sauces and preparations therefor, mixed condiments and mixed seasonings (excl. soya sauce, tomato ketchup and other tomato sauces, liquid mango chutney and aromatic bitters of subheading 2103.90.30)"
"21041000","Soups and broths and preparations therefor(2008-2500);Soups and broths and preparations therefor(1988-1993)"
"21042000","Food preparations consisting of finely homogenised mixtures of two or more basic ingredients, such as meat, fish, vegetables or fruit, put up for retail sale as infant food or for dietetic purposes, in containers of <= 250 g"
"21061020","Protein concentrates and textured protein substances, not containing milkfats, sucrose, isoglucose starch or glucose or containing, by weight, < 1,5% milkfat, < 5% sucrose or isoglucose, < 5% glucose or < 5% starch"
"21061080","Protein concentrates and textured protein substances, containing, by weight, >= 1,5% milkfat, >= 5% sucrose or isoglucose, >= 5% glucose or >= 5% starch"
"21069020","Compound alcoholic preparations of a kind used for the manufacture of beverages and of an actual alcoholic strength of by volume of > 0,5% vol (excl. those based on odoriferous substances)"
"21069030","Flavoured or coloured isoglucose syrups"
"21069055","Flavoured or coloured glucose and maltodextrine syrups"
"21069059","Flavoured or coloured sugar syrups (excl. isoglucose, lactose, glucose and maltodextrine syrups)"
"21069092","Food preparations, n.e.s., not containing milkfats, sucrose, isoglucose starch or glucose or containing, by weight, < 1,5% milkfat, < 5% sucrose or isoglucose, < 5% glucose or < 5% starch(2022-2500);Food preparations, n.e.s., not containing milkfats, sucrose, isoglucose starch or glucose or containing, by weight, < 1,5% milkfat, < 5% sucrose or isoglucose, < 5% glucose or < 5% starch(1996-2021);Food preparations n.e.s., not containing milkfats, sucrose, isoglucose starch or glucose or containing < 1,5% milkfat, < 5% sucrose or isoglucose, < 5% glucose or < 5% starch(1995-1995)"
"21069098","Food preparations, n.e.s., containing, by weight, >= 1,5% milkfat, >= 5% sucrose or isoglucose, >= 5% glucose or >= 5% starch(2007-2500);Food preparations, n.e.s., containing, by weight, >= 1,5% milkfat, >= 5% sucrose or isoglucose, >= 5% glucose or >= 5% starch(1996-2006);Food preparations n.e.s., containing >= 1,5% milkfat, >= 5% sucrose or isoglucose, >= 5% glucose or >= 5% starch(1995-1995)"
"22030001","Beer made from malt, in bottles holding <= 10 l"
"22030009","Beer made from malt, in containers holding <= 10 l (excl. in bottles)"
"22030010","Malt beer, in containers holding > 10 l"
"22041011","Champagne, with PDO"
"22041091","Asti spumante, with PDO"
"22041093","Sparkling wine of fresh grapes with a protected designation of origin ""PDO"" (excl. Asti spumante, Champagne, Cava and Prosecco)(2017-2500);Sparkling wine of fresh grapes with a protected designation of origin (PDO) (excl. Asti spumante and Champagne)(2010-2016)"
"22041094","Sparkling wine of fresh grapes with a protected geographical indication (PGI)"
"22041096","Varietal sparkling wines of fresh grapes without PDO and PGI"
"22041098","Sparkling wine of fresh grapes (excl. varietal wines)"
"22042106","Wine of fresh grapes, incl. fortified wines, in bottles with ""mushrooms"" stoppers held in place by ties or fastenings, holding <= 2 l; wine otherwise put up with an excess pressure due to carbon dioxide in solution of >= 1 bar but < 3 bar measured at 20°C, in containers holding <= 2 l (excl. sparkling wine), with a protected designation of origin (PDO)"
"22042107","Wine of fresh grapes, incl. fortified wines, in bottles with ""mushrooms"" stoppers held in place by ties or fastenings, holding <= 2 l; wine otherwise put up with an excess pressure due to carbon dioxide in solution of >= 1 bar but < 3 bar measured at 20°C, in containers holding <= 2 l (excl. sparkling wine), with a protected geographical indication (PGI)"
"22042108","Wine of fresh grapes, incl. fortified wines, in bottles with ""mushrooms"" stoppers held in place by ties or fastenings, holding <= 2 l; wine otherwise put up with an excess pressure due to carbon dioxide in solution of >= 1 bar but < 3 bar measured at 20°C, in containers holding <= 2 l (excl. sparkling wine), varietal wines without PDO or PGI"
"22042109","Other wine of fresh grapes, incl. fortified wines, in bottles with ""mushrooms"" stoppers held in place by ties or fastenings, holding <= 2 l; wine otherwise put up with an excess pressure due to carbon dioxide in solution of >= 1 bar but < 3 bar measured at 20°C, in containers holding <= 2 l (excl. sparkling wine and varietal wines)"
"22042910","Wine of fresh grapes, incl. fortified wines, in bottles with ""mushroom"" stoppers held in place by ties or fastenings, holding > 2 l; wine otherwise put up with an excess pressure due to carbon dioxide in solution of >= 1 bar but < 3 bar measured at 20°C, in containers holding > 10 l (excl. sparkling wine)(2017-2500);Wine of fresh grapes, incl. fortified wines, in bottles with ""mushroom"" stoppers held in place by ties or fastenings, holding > 2 l; wine otherwise put up with an excess pressure due to carbon dioxide in solution of >= 1 bar but < 3 bar measured at 20°C, in containers holding > 2 l (excl. sparkling wine)(1988-2016)"
"22042923","Wines produced in Bourgogne ""Burgundy"", in containers holding > 10 l and of an actual alcoholic strength of <= 15% vol, with PDO (other than sparkling wine and semi-sparkling wine)(2017-2500);Quality wine produced in specified regions, in containers holding > 2 l, of actual alcoholic strength of =< 13 % vol (excl. white)(1988-1994)"
"22042978","Wines produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <= 15% vol, with PDO (other than Bordeaux, Bourgogne, Beaujolais, Vallée du Rhône, Languedoc-Roussillon, Val de Loire, Piemonte, sparkling wine, semi-sparkling wine and white wine)(2017-2500);Quality white wines produced in specified regions, in containers holding > 2 l and of an actual alcoholic strength of > 13% vol to 15% vol (other than Tokaj, sparkling wine and semi-sparkling wine)(2005-2009)"
"22042979","White wine of fresh grapes, produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <= 15% vol, with PGI (other than sparkling wine and semi-sparkling wine)(2017-2500);White wine of fresh grapes, produced in EU, in containers holding > 2 l and of an actual alcoholic strength of <= 15% vol, with PGI (other than sparkling wine and semi-sparkling wine)(2010-2016)"
"22042980","Wines of fresh grapes, produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <= 15% vol, with PGI (other than sparkling wine, semi-sparkling wine and white wine)(2017-2500);Wines of fresh grapes, produced in EU, in containers holding > 2 l and of an actual alcoholic strength of <= 15% vol, with PGI (other than sparkling wine, semi-sparkling wine and white wine)(2010-2016)"
"22042981","Varietal white wines without PDO and PGI, produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <=15% vol (other than sparkling wine and semi-sparkling wine)(2017-2500);Varietal white wines without PDO and PGI, produced in EU, in containers holding > 2 l and of an actual alcoholic strength of <=15% vol (other than sparkling wine and semi-sparkling wine)(2010-2016);Quality white wines produced in specified regions, in containers holding > 2 l and of an actual alcoholic strength by volume of > 13% vol to 15% vol (other than sparkling wine and semi-sparkling wine)(1995-2004)"
"22042982","Varietal wines without PDO and PGI, produced in EU, in containers holding > 10 l and of an actual alcoholic strength of <=15% vol (other than sparkling wine, semi-sparkling wine and white wine)(2017-2500);Varietal wines without PDO and PGI, produced in EU, in containers holding > 2 l and of an actual alcoholic strength of <=15% vol (other than sparkling wine, semi-sparkling wine and white wine)(2010-2016);Quality wines produced in specified regions, in containers holding > 2 l and of an actual alcoholic strength of > 13% vol to 15% vol (other than sparkling wine, semi-sparkling wine and general white wine)(1995-2009)"
